ordered_position,feature_name,included,authority
1,calendar_month,True,MODEL_EVALUATION_FREEZE_V1
2,day_of_week,True,MODEL_EVALUATION_FREEZE_V1
3,venue,True,MODEL_EVALUATION_FREEZE_V1
4,race_number,True,MODEL_EVALUATION_FREEZE_V1
5,race_type,True,MODEL_EVALUATION_FREEZE_V1
6,surface,True,MODEL_EVALUATION_FREEZE_V1
7,direction,True,MODEL_EVALUATION_FREEZE_V1
8,distance_m,True,MODEL_EVALUATION_FREEZE_V1
9,log_prize_1,True,MODEL_EVALUATION_FREEZE_V1
10,log_prize_total,True,MODEL_EVALUATION_FREEZE_V1
11,frame_number,True,MODEL_EVALUATION_FREEZE_V1
12,horse_number,True,MODEL_EVALUATION_FREEZE_V1
13,assigned_weight,True,MODEL_EVALUATION_FREEZE_V1
14,jockey_affiliation,True,MODEL_EVALUATION_FREEZE_V1
15,trainer_affiliation,True,MODEL_EVALUATION_FREEZE_V1
16,racing_age,True,MODEL_EVALUATION_FREEZE_V1
17,sex,True,MODEL_EVALUATION_FREEZE_V1
18,prior_starts,True,MODEL_EVALUATION_FREEZE_V1
19,days_since_last_race,True,MODEL_EVALUATION_FREEZE_V1
20,days_since_second_last_race,True,MODEL_EVALUATION_FREEZE_V1
21,starts_last_30d,True,MODEL_EVALUATION_FREEZE_V1
22,starts_last_90d,True,MODEL_EVALUATION_FREEZE_V1
23,starts_last_365d,True,MODEL_EVALUATION_FREEZE_V1
24,last1_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
25,mean_last3_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
26,mean_last5_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
27,best_last5_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
28,sd_last5_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
29,prior_win_rate,True,MODEL_EVALUATION_FREEZE_V1
30,prior_top3_rate,True,MODEL_EVALUATION_FREEZE_V1
31,same_venue_starts,True,MODEL_EVALUATION_FREEZE_V1
32,same_venue_mean_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
33,same_venue_top3_rate,True,MODEL_EVALUATION_FREEZE_V1
34,same_distance_starts,True,MODEL_EVALUATION_FREEZE_V1
35,same_distance_mean_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
36,same_distance_top3_rate,True,MODEL_EVALUATION_FREEZE_V1
37,same_venue_distance_starts,True,MODEL_EVALUATION_FREEZE_V1
38,same_venue_distance_mean_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
39,same_venue_distance_top3_rate,True,MODEL_EVALUATION_FREEZE_V1
40,same_surface_starts,True,MODEL_EVALUATION_FREEZE_V1
41,same_surface_mean_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
42,same_direction_starts,True,MODEL_EVALUATION_FREEZE_V1
43,same_direction_mean_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
44,jockey_90d_starts,True,MODEL_EVALUATION_FREEZE_V1
45,jockey_90d_mean_finish_pct,True,MODEL_EVALUATION_FREEZE_V1
46,jockey_90d_top3_rate,True,MODEL_EVALUATION_FREEZE_V1
47,jockey_365d_starts,True,MODEL_EVALUATION_FREEZE_V1
